artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
DT-001,acoustic-violin-design-table.xlsx,design_table,design_table,fabrication,,derived_from_authority,true,Workbook authority for parametric dimensions. family-spec.csv scaffold derived from this.
FS-001,family-spec.csv,family_spec,family_spec,fabrication,acoustic-violin-design-table.xlsx,derived_from_authority,true,L2 scaffold; replace with packet design values before SolidWorks import.
BOM-001,bom.csv,bom,bom,fabrication,acoustic-violin-design-table.xlsx,derived_from_authority,true,Make/buy material and hardware list.
SRC-001,sourcing.csv,sourcing,sourcing,fabrication,,derived_from_authority,true,Spec-first sourcing table; live prices not verified.
CUT-001,cut-list.csv,cut_list,cut_list,fabrication,acoustic-violin-design-table.xlsx,derived_from_authority,true,Rough/finish dimensions from baseline.
MT-001,validation.csv,measurement_template,measurement_template,fabrication,,derived_from_authority,true,Validation gates: arching, graduation, neck-set, soundpost, setup.
DRW-001,drawings/README.md,drawing,drawing_stub,pending_measurement,,placeholder,false,Drawing directory stub. No DXF/SVG yet.
IMG-001,images/README.md,image,image_stub,concept_only,,no_dimension_claim,false,Image directory stub. Hero render not yet generated.
WL-001,acoustic-violin-starter.wl,wolfram_source,wolfram,derived_preview,,source_only,false,Wolfram source scaffold; source-only evidence at L2 until executed.
CAD-001,cad/acoustic-violin-placeholder.scad,cad_source,cad_authoring,pending_measurement,acoustic-violin-design-table.xlsx,scaffold_dimensions,false,Parametric OpenSCAD placeholder. Not fabrication authority until reviewed against measured template.
